Year,Mean leaf bursts score,Mean air temperature / °C
2010,2.148868,9.6508
2011,3.131417,12.417
2012,2.273077,8.0614
2013,1.319203,8.1084
2015,2.489763,9.872367
2016,2.596264,8.675667
2017,3.317167,10.01247
2018,2.802476,11.29577
2021,0.6288184,6.654267
